NOM;envoutil_id;envversion_id;bien_id;application_id;lot_id;Environnement
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECL;COHERENCE;310;PERF
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECM;COHERENCE;310;PERF
WAS 6.1 FP23;WAS;6.1 FP23;S64LMWBIGKV;COHERENCE;303;PROD
WAS 6.1 FP23;WAS;6.1 FP23;S64LMWBIGKW;COHERENCE;303;PROD
WAS 6.1 FP23;WAS;6.1 FP23;S64LMWBIGL5;COHERENCE;303;PROD
WAS 6.1 FP23;WAS;6.1 FP23;S64LMWBIGL6;COHERENCE;303;PROD
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECL;GMAO MR;310;PERF
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECM;GMAO MR;310;PERF
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIFOQ;GMAO MR;303;MAB
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIGKV;GMAO MR;303;PROD
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIGKW;GMAO MR;303;PROD
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIGL5;GMAO MR;303;PROD
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIGL6;GMAO MR;303;PROD
WAS 6.1 FP41;WAS;6.1 FP41;S64LMWBIGLA;GMAO MR;303;MAB
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIFOQ;ORCHESTRAL;303;MAB
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIGKV;ORCHESTRAL;303;PROD
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIGKW;ORCHESTRAL;303;PROD
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECL;ORCHESTRAL;310;PERF
WPS 6.2 FP3;WPS;6.2 FP3;S64LMWBIECL;ORCHESTRAL;310;PERF
WPS 6.2 FP3;WPS;6.2 FP3;S64LMWBIECM;ORCHESTRAL;310;PERF
WAS 6.1 FP43;WAS;6.1 FP43;S64LMWBIECM;ORCHESTRAL;310;PERF
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIFOQ;ORCHESTRAL;303;MAB
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIGKV;ORCHESTRAL;303;PROD
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIGL5;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIFOQ;ORCHESTRAL;303;MAB
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIGKW;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIGKV;ORCHESTRAL;303;PROD
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIGL5;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIGKW;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIGL5;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIGL6;ORCHESTRAL;303;PROD
WPS 6.2 FP2;WPS;6.2 FP2;S64LMWBIGLA;ORCHESTRAL;303;MAB
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIGL6;ORCHESTRAL;303;PROD
WTX 8.2 FP4;WTX;8.2 FP4;S64LMWBIGLA;ORCHESTRAL;303;MAB
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIGL6;ORCHESTRAL;303;PROD
WAS 6.1 FP25;WAS;6.1 FP25;S64LMWBIGLA;ORCHESTRAL;303;MAB
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIECP;OSMOSE;303;QUALIF303
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIFOQ;OSMOSE;303;MAB
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIECL;OSMOSE;310;PERF
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIGKV;OSMOSE;303;PROD
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIECM;OSMOSE;310;PERF
XOS 3.5 SP5;XOS;3.5 SP5;S64LMWBIGKW;OSMOSE;303;PROD
CFT 2.6.4 SP3;CFT;2.6.4 SP3;S64LMWBIFOQ;OSMOSE;303;MAB
