application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;MOA;Formation;FOR2;BAC A SABLE;BAC3031;BAC A SABLE;303;Livré;15/07/2012;ISO PROD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Intégration;TRESI1;;TEST RESEAU;TEST RESEAU;303;Livré;15/07/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Outillage;TRESP1;;TEST RESEAU;TEST RESEAU;303;Livré;15/07/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;DSI-T;Intégration;INT2;;INT3031;INTEGRATION;303;Livré;22/07/2012;STANDARD;RECETTE;ISO PROD;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;MOA;Formation;FOR1;FORMATION 303;FOR3031;FORMATION;303;Livré;25/08/2012;STANDARD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Copie de production;COPIEPROD;COPIE DE PRODUCTION 303;COPIEPROD;COPIEPROD;303;Livré;01/09/2012;ISO PROD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;;DSI-T;Production;COHPROD;;PRODUCTION;PRODUCTION;303;Livré;20/09/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;;DSI-T;Production;PROD;;PRODUCTION;PRODUCTION;303;Livré;20/09/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;DSI-T;Production;PROD;;PROD303;PRODUCTION;303;Livré;20/09/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XOS;XOS;;DSI-T;Production;PROD303;;PROD303;PRODUCTION;303;Livré;20/09/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Production;PROD;;PROD303;PRODUCTION;303;Livré;20/09/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;Dev/qualif des dev Majeurs MCO;GROUPEMENT;Développement;ORCHDEV1;Réal;MCOMAJ310;MCOMAJ310;303;Livré;25/09/2012;;;;0;#NOM?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;Dev/qualif des dev mineurs MCO;GROUPEMENT;Développement;ORCHDEV4;Réal;MCOMIN310;MCOMIN310;303;Livré;25/09/2012;;;;0;#NOM?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MBR;Pour Dev mco 303;GROUPEMENT;Développement;X64LMWBIDS7;Global;MBR-MCO;MBR-MCO-DEV;303;Livré;25/09/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin urgent;GROUPEMENT;Développement;DEV1;MCO 303;DEV1;#NOM?;303;Livré;26/09/2012;ISO PROD;DEV-PF1;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;SSIS;;GROUPEMENT;Développement;S64LMWBIE0W ;Global;DEV310;DEV310;310;Livré;26/09/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
